Date,Open,High,Low,Close,Adj Close,Volume
02-11-2022,3580,3625.149902,3526,3580.699951,3580.699951,2534755
03-11-2022,3550,3614.699951,3542.449951,3590.399902,3590.399902,1275216
04-11-2022,3642,3849.800049,3566.75,3833.25,3833.25,6112097
07-11-2022,3852.449951,4013.699951,3820,3960.600098,3960.600098,5985652
09-11-2022,3977,4048,3943.050049,3997.199951,3997.199951,3732472
10-11-2022,3995,4030,3962.149902,3992.25,3992.25,2313795
11-11-2022,4040,4048.949951,3975.149902,4008.850098,4008.850098,1476875
14-11-2022,3999,4078,3990,4022.550049,4022.550049,1803092
15-11-2022,4025.050049,4065,4022,4057.800049,4057.800049,1065546
16-11-2022,4057.300049,4096,3863.550049,3956.600098,3956.600098,3059841
17-11-2022,3970,4033,3900,4018.149902,4018.149902,2266112
18-11-2022,4028.350098,4043,3984,4019.800049,4019.800049,1440776
21-11-2022,4019.949951,4019.949951,3921.949951,4001.850098,4001.850098,1492003
22-11-2022,4001.850098,4056,3988,4034,4034,1705043
23-11-2022,4050,4061.850098,3873,3903.300049,3903.300049,2861156
24-11-2022,3910,3935,3821,3921.100098,3921.100098,2797181
25-11-2022,3929,3949.899902,3845.300049,3901.100098,3901.100098,2506346
28-11-2022,3899.399902,3925,3871.399902,3886.149902,3886.149902,1119166
29-11-2022,3885,3915,3864.050049,3878.399902,3878.399902,1513444
30-11-2022,3897.800049,3939.899902,3867,3917.899902,3917.899902,1968428
01-12-2022,3937.5,3944.949951,3902.449951,3915.100098,3915.100098,945838
02-12-2022,3905,3963.800049,3885,3922.5,3922.5,1297832
05-12-2022,3928.899902,3939,3810.050049,3930.399902,3930.399902,2392866
06-12-2022,3920,4057,3909,4031.800049,4031.800049,2962621
07-12-2022,4031,4057.899902,3984.550049,3999.300049,3999.300049,1257261
08-12-2022,4010,4045,4003.350098,4025,4025,895075
09-12-2022,4044,4094,3941.5,3996.800049,3996.800049,2129800
12-12-2022,3997,4031.899902,3968.75,4016.699951,4016.699951,802499
13-12-2022,4027.800049,4072,4011.600098,4060.199951,4060.199951,1215308
14-12-2022,4076,4092.050049,4040,4055.800049,4055.800049,1114492
15-12-2022,4055.800049,4073.050049,4025,4043.75,4043.75,866138
16-12-2022,4018.899902,4047.899902,3944.050049,3980.800049,3980.800049,1598960
19-12-2022,3988,4104,3971.449951,4075.300049,4075.300049,1643404
20-12-2022,4095,4172,4066.399902,4165.299805,4165.299805,3778426
21-12-2022,4175,4190,3883.25,3901.949951,3901.949951,3585883
22-12-2022,3948,3948,3817.050049,3868.550049,3868.550049,2879658
23-12-2022,3822,3848,3616.800049,3642.199951,3642.199951,3036157
26-12-2022,3653,3744.899902,3620,3716.75,3716.75,2162662
27-12-2022,3732.449951,3797.899902,3695.050049,3769.649902,3769.649902,1804911
28-12-2022,3756.050049,3825,3745,3797.699951,3797.699951,1377950
29-12-2022,3790,3825,3748.100098,3810.600098,3810.600098,1531692
30-12-2022,3829.699951,3898,3822.050049,3858.350098,3858.350098,1528747
02-01-2023,3870,3874,3822.550049,3841.199951,3841.199951,923051
03-01-2023,3841.899902,3852.850098,3791,3830.949951,3830.949951,799905
04-01-2023,3839,3874.949951,3803.600098,3827.050049,3827.050049,1028377
05-01-2023,3827.050049,3842.399902,3756.899902,3829.800049,3829.800049,997006
06-01-2023,3829,3868.25,3797.050049,3824.25,3824.25,912159
09-01-2023,3843,3880,3811.25,3855.300049,3855.300049,753981
10-01-2023,3859,3862.050049,3555,3646.899902,3646.899902,3595798
11-01-2023,3660,3664.5,3560.100098,3635.800049,3635.800049,2226506
12-01-2023,3642.5,3679,3612,3647.199951,3647.199951,1199785
13-01-2023,3651.199951,3736.050049,3642.199951,3721.149902,3721.149902,1364712
16-01-2023,3720,3739.949951,3600,3619.800049,3619.800049,1863848
17-01-2023,3620,3649.600098,3560.199951,3639.350098,3639.350098,1668381
18-01-2023,3648,3648,3527.100098,3596.699951,3596.699951,3652240
19-01-2023,3470,3537.699951,3426.699951,3463.550049,3463.550049,3696319
20-01-2023,3450,3477.350098,3440.949951,3456.149902,3456.149902,1510258
23-01-2023,3443.050049,3460,3412.550049,3436.350098,3436.350098,974857
24-01-2023,3447.449951,3508,3430,3442,3442,1518123
25-01-2023,3422,3428,3315,3388.949951,3388.949951,3686439
27-01-2023,3335,3346.5,2712,2761.449951,2761.449951,14764368
30-01-2023,2850,3037.550049,2665,2892.850098,2892.850098,20947906
31-01-2023,2980,3073.600098,2906,2973.899902,2973.899902,11568020
01-02-2023,2995,3010.75,1941.199951,2135.350098,2135.350098,13525314
02-02-2023,2348.850098,2348.850098,1494.75,1565.25,1565.25,34474080
03-02-2023,1490,1679.900024,1017.450012,1586.800049,1586.800049,43885579
06-02-2023,1575,1615,1435.199951,1572.699951,1572.699951,19308603
07-02-2023,1571,1962.699951,1525.599976,1802.949951,1802.949951,19188072
08-02-2023,1869.849976,2222.149902,1840.849976,2164.25,2164.25,19173006
09-02-2023,2168,2168,1731.400024,1925.699951,1925.699951,18279862
10-02-2023,1769,1990,1733.150024,1846.949951,1846.949951,11334878
